State,Population (2014),Area (km2),Male Literacy rate,Female Literacy rate,Avrage Literacy rate,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,"Places other than 231, 232 & 233",Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Deaths due to negligent driving/act,Deaths due to Other Causes,Offences against State,Sedition,Other offences against State,Offences promoting enmity between different groups,Promoting enmity between different groups,"Imputation, assertions prejudicial to national integration",Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Residence_Dacoity_Cases reported,Residence_Dacoity_Value of property stolen,Residence_Robbery_Cases reported,Residence_Robbery_Value of property stolen,Residence_Burglary_Cases reported,Residence_Burglary_Value of property stolen,Residence_Theft_Cases reported,Residence_Theft_Value of property stolen,Highways_Dacoity_Cases reported,Highways_Dacoity_Value of property stolen,Highways_Robbery_Cases reported,Highways_Robbery_Value of property stolen,Highways_Burglary_Cases reported,Highways_Burglary_Value of property stolen,Highways_Theft_Cases reported,Highways_Theft_Value of property stolen,RiverOrSea_Dacoity_Cases reported,RiverOrSea_Dacoity_Value of property stolen,RiverOrSea_Robbery_Cases reported,RiverOrSea_Robbery_Value of property stolen,RiverOrSea_Burglary_Cases reported,RiverOrSea_Burglary_Value of property stolen,RiverOrSea_Theft_Cases reported,RiverOrSea_Theft_Value of property stolen,Railways_Dacoity_Cases reported,Railways_Dacoity_Value of property stolen,Railways_Robbery_Cases reported,Railways_Robbery_Value of property stolen,Railways_Burglary_Cases reported,Railways_Burglary_Value of property stolen,Railways_Theft_Cases reported,Railways_Theft_Value of property stolen,Religious Places_Dacoity_Cases reported,Religious Places_Dacoity_Value of property stolen,Religious Places_Robbery_Cases reported,Religious Places_Robbery_Value of property stolen,Religious Places_Burglary_Cases reported,Religious Places_Burglary_Value of property stolen,Religious Places_Theft_Cases reported,Religious Places_Theft_Value of property stolen,ATM_Dacoity_Cases reported,ATM_Dacoity_Value of property stolen,ATM_Robbery_Cases reported,ATM_Robbery_Value of property stolen,ATM_Burglary_Cases reported,ATM_Burglary_Value of property stolen,ATM_Theft_Cases reported,ATM_Theft_Value of property stolen,Bank_Dacoity_Cases reported,Bank_Dacoity_Value of property stolen,Bank_Robbery_Cases reported,Bank_Robbery_Value of property stolen,Bank_Burglary_Cases reported,Bank_Burglary_Value of property stolen,Bank_Theft_Cases reported,Bank_Theft_Value of property stolen,CommEst_Dacoity_Cases reported,CommEst_Dacoity_Value of property stolen,CommEst_Robbery_Cases reported,CommEst_Robbery_Value of property stolen,CommEst_Burglary_Cases reported,CommEst_Burglary_Value of property stolen,CommEst_Theft_Cases reported,CommEst_Theft_Value of property stolen,OtherPlaces_Dacoity_Cases reported,OtherPlaces_Dacoity_Value of property stolen,OtherPlaces_Robbery_Cases reported,OtherPlaces_Robbery_Value of property stolen,OtherPlaces_Burglary_Cases reported,OtherPlaces_Burglary_Value of property stolen,OtherPlaces_Theft_Cases reported,OtherPlaces_Theft_Value of property stolen,Total Cognizable IPC crimes,Total Crimes against Women,Total crimes against SCs,Total crimes against STs,Total_Dacoity_Cases reported,Total_Dacoity_Value of property stolen,Total_Robbery_Cases reported,Total_Robbery_Value of property stolen,Total_Burglary_Cases reported,Total_Burglary_Value of property stolen,Total_Theft_Cases reported,Total_Theft_Value of property stolen
Andhra Pradesh,"495,06,799","1,62,975",73.4,59.5,66.4,1175,1540,52,1,961,0,0,0,961,14,947,165,1066,355,5,7,274,425,75,1,74,1,433,4719,3510,1209,15617,4540,11077,59,1013,10,1,139,19,19,0,0,0,0,844,935,5091,199,162,6,0,156,41,102,12,1,0,450,597,589,5,3,215,4547,1072,334,71,504,2566,2649,3,84,65,2497,6362,0,7379,7260,119,1,1,0,21,21,0,276,0,14653,2,1,44187,27,7983001,124,10577950,3530,226363051,5757,199348324,25,11356187,155,9135413,1,65000,2063,133931812,0,0,1,25000,0,0,6,48500,2,15000,11,4015320,0,0,1499,57043722,1,30000,48,7813627,137,5771775,121,4044289,0,0,0,0,11,1216300,57,1565651,0,0,0,0,4,215000,70,2597500,2,5656000,4,1537200,453,58698377,1047,44014781,18,2112180,90,8044133,583,29022813,4997,199285711,114604,17537,4114,627,75,27152368,433,41148643,4719,321352316,15617,641880290
Arunachal Pradesh,"13,83,727","83,743",73.69,59.57,66.95,86,48,4,0,83,4,0,4,79,5,74,10,146,51,1,7,20,67,12,0,12,0,61,224,196,28,498,158,340,6,33,0,0,14,0,0,0,0,4,0,15,33,103,14,1,0,0,1,1,0,0,0,0,39,247,247,0,0,1,121,21,0,6,1,93,3,0,0,0,3,42,0,85,81,4,0,0,0,0,0,0,121,0,102,0,0,720,3,67500,8,86350,103,6637940,173,15422078,2,160000,23,2041480,0,0,84,11213650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35000,0,0,0,0,0,0,21,969280,0,0,0,0,2,50000,0,0,0,0,1,4200000,1,30000,0,0,2,23500,6,126500,51,3678635,61,13901750,5,226000,23,2264600,67,1928240,158,37247470,2843,396,0,1,12,477000,61,8718930,224,12324815,498,78789228
Assam,"312,05,576","78,550",90.1,81.2,85.9,1451,1142,57,14,1980,0,0,0,1980,23,1957,227,4823,0,6,61,3883,873,267,1,266,20,1038,4954,4489,465,12737,3498,9239,834,2640,0,0,2,0,0,0,0,0,0,2638,1952,2956,99,62,0,1,61,59,1,1,0,0,743,7583,7583,0,0,188,3099,458,399,0,0,2242,1,0,1,0,0,9626,1,2079,602,1477,56,1,55,0,0,0,1226,0,3202,68,0,29212,144,10693775,315,4191631,2293,26376373,4503,131897564,25,517160,74,887600,65,277000,317,3798500,0,0,1,150000,0,0,0,0,0,0,0,0,0,0,12,91000,0,0,9,35000,57,11700,5,205000,5,1475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,587900,110,1458386,647,5167008,1919,45335294,69,3329396,529,11398536,1892,17537489,5981,130654964,94337,19609,2,1,267,16603231,1038,18121153,4954,49369570,12737,311982322
Bihar,"1040,99,452","94,163",79.7,60.5,70.9,3403,4379,201,463,1127,0,0,0,1127,24,1103,484,6570,518,632,62,4641,717,538,12,526,56,1600,4674,4491,183,22888,8828,14060,360,13566,59,0,3,6,0,6,243,5,0,13250,1219,5187,967,310,294,0,16,13,2,1,0,0,517,17351,17347,4,0,1373,572,271,61,4,7,229,69,0,0,0,69,4672,5,4719,4332,387,20,16,4,0,0,0,972,0,3485,44,5,75799,174,27725940,117,6558972,3693,262152615,6655,116467719,213,59028180,1224,57521104,29,1190150,1849,46605294,0,0,12,109800,0,0,51,156000,12,729832,22,343236,8,31000,1182,17575022,0,0,0,0,1,350000,99,1663235,1,400000,2,135000,1,20000,97,5185000,8,49338970,9,914395,2,18000,165,5973000,12,2413730,14,970960,594,11825555,1916,83127467,118,11880081,200,7459492,346,3885065,10874,416911296,177595,18208,7893,77,538,151516733,1600,74012959,4674,279472385,22888,693664033
Chhattisgarh,"255,45,198","1,35,194",90.54,81.38,86.43,998,716,29,0,1436,0,0,0,1436,64,1372,21,2014,1274,13,5,263,459,58,6,52,6,405,3247,2413,834,6098,2668,3430,65,809,0,3,11,154,13,141,7,1,0,633,170,930,59,21,0,0,21,12,9,0,0,0,297,3961,3960,1,0,128,2122,649,76,9,72,1316,79,0,13,0,66,964,0,3762,3393,369,7,1,6,3,3,0,74,0,7759,43,22,21897,27,3076170,25,1137900,1985,85802275,1235,53896428,5,154300,92,2947100,374,10388186,477,21201575,0,0,0,0,0,0,1,800000,0,0,5,108860,0,0,181,10032481,0,0,2,31100,15,364510,2,1350,0,0,1,122350,3,361000,2,136698,0,0,4,490359,7,515410,415,13018374,2,157883,60,698427,275,11094928,728,41883909,24,907713067,216,20941730,588,41656363,3057,125524854,58200,11050,1066,721,58,911101420,405,26477826,3247,150182672,6098,266495669
Goa,"14,58,545","3,702",92.81,81.84,87.4,34,42,6,0,95,0,0,0,95,2,93,2,152,134,0,1,0,17,13,0,13,0,32,372,297,75,1154,386,768,32,133,0,0,0,0,0,0,0,0,0,133,82,260,9,15,0,0,15,9,6,0,0,0,41,114,114,0,0,0,202,50,7,11,25,109,57,1,1,0,55,35,0,223,215,8,0,0,0,1,1,0,18,0,607,14,0,721,3,1862000,7,819320,225,32980025,210,20466382,2,250000,5,372000,0,0,41,5264590,0,0,0,0,1,0,15,1038500,0,0,0,0,0,0,53,4843461,0,0,0,0,15,1634900,31,867474,0,0,0,0,0,0,0,0,0,0,1,0,4,147000,4,270268,1,18000,3,755875,92,12461903,154,8273506,7,1263500,16,764490,35,1717326,646,348934959,4466,576,17,6,13,3393500,32,2711685,372,48941154,1154,389959140
Gujarat,"604,39,692","1,96,024",89.5,74.8,82.4,1124,756,57,3,841,0,0,0,841,16,825,6,2722,868,1,36,1378,439,296,0,296,15,1209,4477,1638,2839,14337,8077,6260,243,1354,57,3,12,101,31,70,60,1,2,1118,1070,1574,246,96,5,0,91,43,32,11,0,5,217,3363,3353,6,4,23,1352,405,51,7,62,827,173,1,3,0,169,5991,0,7132,7039,93,0,0,0,11,10,1,185,0,29677,3,22,52810,125,33262196,413,26513333,3037,335823673,4822,399200360,52,45397801,230,43444989,52,6577505,662,87560039,0,0,1,22000,0,0,15,1502457,3,36700,16,2235910,4,436700,889,48021776,2,61500,5,147900,73,7295852,104,5149916,0,0,0,0,1,500,9,1122400,0,0,4,1165100,9,79000,24,1952550,20,3164530,66,23608235,638,71316656,1218,97192661,94,39372445,474,56294576,663,36208038,6594,679416572,131385,13669,1130,229,296,121295172,1209,153432043,4477,457737924,14337,1321118731
Haryana,"253,51,462","44,212",88,71.3,80.4,1106,783,65,9,1174,0,0,0,1174,230,944,136,3082,149,23,14,886,2010,172,3,169,81,874,6717,5764,953,20314,14637,5677,0,1944,207,0,0,34,2,32,0,0,0,1703,786,1945,667,19,0,0,19,4,12,3,0,0,203,1671,1656,12,3,293,1688,599,229,26,284,550,102,1,1,2,98,3478,0,4150,4002,148,0,0,0,3,3,0,207,1,6202,9,143,21923,20,3483000,98,11217100,4000,301606799,8083,337001875,72,46294820,236,71995377,36,2411100,1076,37730879,0,0,0,0,0,0,1,80000,1,1400000,31,2428450,27,1253000,414,1984200,0,0,10,563000,56,1796257,369,12204660,0,0,4,1793200,48,15564800,24,3042500,1,0,0,0,16,1493000,13,175000,18,7591085,105,17652937,1694,107586488,3718,183051913,60,33425280,390,108881046,840,59838405,6616,308319331,79947,12088,830,0,172,92194185,874,214531110,6717,491549849,20314,883590358
Himachal Pradesh,"68,64,602","55,673",92.9,80.5,86.6,130,63,9,0,283,0,0,0,283,6,277,5,304,69,4,1,175,55,4,0,4,0,16,884,425,459,652,252,400,21,478,0,0,1,0,0,0,0,6,0,471,129,389,49,2,0,0,2,0,1,1,0,0,97,593,592,1,0,1,538,159,18,3,62,296,60,0,0,0,60,325,0,776,730,46,1,1,0,0,0,0,5,0,2336,1,12,5997,0,0,4,125000,535,53694314,88,8982206,2,620200,3,124000,6,1121445,164,52908638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45000,0,0,1,368000,49,12050451,6,165566,0,0,0,0,21,12041900,8,1262926,0,0,0,0,6,3296100,0,0,0,0,1,27650,145,20115354,58,3465088,2,950000,7,651870,122,14220600,327,31675289,14160,1644,122,3,4,1570200,16,1296520,884,116540164,652,101904713
Jammu & Kashmir,"156,00,000","42,241",78.26,58.06,68.74,156,484,18,2,331,0,0,0,331,0,331,20,860,287,19,0,236,318,6,0,6,0,89,1367,695,672,1773,720,1053,0,1527,0,0,65,0,0,0,0,0,0,1462,96,497,24,13,0,0,13,9,2,2,0,0,159,341,339,2,0,5,1421,242,123,0,1,1055,237,0,8,6,223,467,0,782,766,16,5,0,5,0,0,0,0,0,5003,0,30,8135,3,103500,13,987070,548,31093785,251,23769249,0,0,0,0,0,0,18,2770975,0,0,0,0,0,0,0,0,0,0,0,0,2,174257,8,1200074,0,0,0,0,14,175481,3,69000,0,0,0,0,0,0,2,235000,0,0,0,0,1,621,0,0,0,0,0,0,215,10464988,39,1837520,3,51625,76,11774862,587,31099361,1452,88851838,23848,3451,0,0,6,155125,89,12761932,1367,73008493,1773,118733656
